,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
11540,Voltage Regulator/Reference,Industrial,Other Industrial,2248.93,651481.707,1010453.11,749997.384,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,11.2293
11543,Voltage Regulator/Reference,Industrial,Power & Energy,658.502,426191.674,744408.882,59122.3,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,1.8657
11544,Voltage Regulator/Reference,Industrial,Power & Energy,591.217,428609.532,694336.713,56477.645,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,1.900478262112825
11545,Voltage Regulator/Reference,Industrial,Power & Energy,601.386,459595.802,715358.27,58137.779,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,1.946979093964416
11546,Voltage Regulator/Reference,Industrial,Power & Energy,709.292,592814.876,898036.093,67325.066,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,2.263019940609938
11547,Voltage Regulator/Reference,Industrial,Power & Energy,776.931,651481.707,1010453.11,73245.44499999999,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,2.6021
11550,Voltage Regulator/Reference,Wireless Communications,Infrastructure,159.084,426191.674,746450.838,93370.407,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,0.4622
11551,Voltage Regulator/Reference,Wireless Communications,Infrastructure,166.174,428609.532,696220.217,103327.068,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,0.3991
11552,Voltage Regulator/Reference,Wireless Communications,Infrastructure,197.001,459595.802,798162.05,123825.195,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,0.4189
11553,Voltage Regulator/Reference,Wireless Communications,Infrastructure,258.0,592814.876,1019653.858,143949.03900000002,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,0.6305000000000001
11554,Voltage Regulator/Reference,Wireless Communications,Infrastructure,280.0,651481.707,1148735.868,156351.195,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,0.7451
11557,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,15.532,172603.835,59559.026,40870.402,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,0.3979
11558,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,27.961,163733.518,72744.33,62203.546,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,0.7242000000000001
11559,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,25.0,163007.011,73680.28,60297.26,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,0.7745
11560,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,21.0,212172.612,87144.25,64026.526,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,0.5936999999999999
11561,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,13.0,242620.053,74227.89,46551.218,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,0.4114551918433055
11567,Amplifier/Comparator,Computer Peripherals & Storage,Other Storage,8.0,212172.612,87144.25,11803.88,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,0.1717999999999999
11568,Amplifier/Comparator,Computer Peripherals & Storage,Other Storage,9.0,242620.053,74227.89,14848.66,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,0.3340448081566943
11571,Amplifier/Comparator,Computer Platforms,Data Center Servers,9.768,172603.835,66738.632,18790.296,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,1.1260902600828595
11572,Amplifier/Comparator,Computer Platforms,Data Center Servers,5.444,163733.518,70347.31300000001,10309.44,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,0.5993
11573,Amplifier/Comparator,Computer Platforms,Data Center Servers,6.0,163007.011,75961.04,12408.0,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,0.5741039019649157
11574,Amplifier/Comparator,Computer Platforms,Data Center Servers,6.0,212172.612,106413.934,18965.4,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,0.5884029624259269
