,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
12562,Voltage Regulator/Reference,Consumer,Audio,0.0,138115.036,0.0,0.0,4482.0,4293.0,3941.0,9003.0,8696.0,8040.0,2636.0,2568.0,2368.0,0.1346
12565,Amplifier/Comparator,Industrial,Medical,0.0,33009.633,202444.977,0.0,882.14,862.7,806.53,3026.3,2896.2,2513.5,710.1,644.5,559.3,5.5981000000000005
12566,Amplifier/Comparator,Industrial,Medical,0.0,31492.062,190906.584,0.0,915.95,882.14,862.7,3216.9,3026.3,2896.2,774.0,710.1,644.5,5.2179
12567,Amplifier/Comparator,Industrial,Medical,0.0,30177.791,197047.823,0.0,818.47,915.95,882.14,2861.5,3216.9,3026.3,635.8,774.0,710.1,5.3181
12568,Amplifier/Comparator,Industrial,Medical,0.0,39871.494,245502.837,0.0,957.04,818.47,915.95,3603.2,2861.5,3216.9,994.6,635.8,774.0,7.8626
12569,Amplifier/Comparator,Industrial,Medical,0.0,44223.186,272578.716,0.0,1192.2,957.04,818.47,4071.7,3603.2,2861.5,999.9,994.6,635.8,8.9259
12572,Analog Application Specific IC,Industrial,Medical,0.0,309095.924,202444.977,0.0,882.14,862.7,806.53,3026.3,2896.2,2513.5,710.1,644.5,559.3,11.790299999999998
12573,Analog Application Specific IC,Industrial,Medical,0.0,299683.612,190906.584,0.0,915.95,882.14,862.7,3216.9,3026.3,2896.2,774.0,710.1,644.5,11.4701
12574,Analog Application Specific IC,Industrial,Medical,0.0,328933.757,197047.823,0.0,818.47,915.95,882.14,2861.5,3216.9,3026.3,635.8,774.0,710.1,11.253699999999998
12575,Analog Application Specific IC,Industrial,Medical,0.0,392841.063,245502.837,0.0,957.04,818.47,915.95,3603.2,2861.5,3216.9,994.6,635.8,774.0,15.7007
12576,Analog Application Specific IC,Industrial,Medical,0.0,421467.305,272578.716,0.0,1192.2,957.04,818.47,4071.7,3603.2,2861.5,999.9,994.6,635.8,17.7408
12579,Data Converters,Industrial,Medical,0.0,37411.156,202444.977,0.0,882.14,862.7,806.53,3026.3,2896.2,2513.5,710.1,644.5,559.3,7.3
12580,Data Converters,Industrial,Medical,0.0,35659.038,190906.584,0.0,915.95,882.14,862.7,3216.9,3026.3,2896.2,774.0,710.1,644.5,6.915699999999999
12581,Data Converters,Industrial,Medical,0.0,34241.622,197047.823,0.0,818.47,915.95,882.14,2861.5,3216.9,3026.3,635.8,774.0,710.1,6.984400000000001
12582,Data Converters,Industrial,Medical,0.0,46699.434,245502.837,0.0,957.04,818.47,915.95,3603.2,2861.5,3216.9,994.6,635.8,774.0,11.479500000000002
12583,Data Converters,Industrial,Medical,0.0,51527.941,272578.716,0.0,1192.2,957.04,818.47,4071.7,3603.2,2861.5,999.9,994.6,635.8,12.8018
12586,Interface,Industrial,Medical,0.0,40841.875,202444.977,0.0,882.14,862.7,806.53,3026.3,2896.2,2513.5,710.1,644.5,559.3,3.0854
12587,Interface,Industrial,Medical,0.0,38870.652,190906.584,0.0,915.95,882.14,862.7,3216.9,3026.3,2896.2,774.0,710.1,644.5,2.9018
12588,Interface,Industrial,Medical,0.0,40817.136,197047.823,0.0,818.47,915.95,882.14,2861.5,3216.9,3026.3,635.8,774.0,710.1,2.9688
12589,Interface,Industrial,Medical,0.0,49761.951,245502.837,0.0,957.04,818.47,915.95,3603.2,2861.5,3216.9,994.6,635.8,774.0,3.7064
12590,Interface,Industrial,Medical,0.0,53667.156,272578.716,0.0,1192.2,957.04,818.47,4071.7,3603.2,2861.5,999.9,994.6,635.8,4.1671
12593,Voltage Regulator/Reference,Industrial,Medical,0.0,101291.063,202444.977,0.0,882.14,862.7,806.53,3026.3,2896.2,2513.5,710.1,644.5,559.3,7.1105
12594,Voltage Regulator/Reference,Industrial,Medical,0.0,99479.515,190906.584,0.0,915.95,882.14,862.7,3216.9,3026.3,2896.2,774.0,710.1,644.5,6.7293
12595,Voltage Regulator/Reference,Industrial,Medical,0.0,103400.887,197047.823,0.0,818.47,915.95,882.14,2861.5,3216.9,3026.3,635.8,774.0,710.1,6.8141
12596,Voltage Regulator/Reference,Industrial,Medical,0.0,128025.114,245502.837,0.0,957.04,818.47,915.95,3603.2,2861.5,3216.9,994.6,635.8,774.0,8.744499999999999
12597,Voltage Regulator/Reference,Industrial,Medical,0.0,138115.036,272578.716,0.0,1192.2,957.04,818.47,4071.7,3603.2,2861.5,999.9,994.6,635.8,10.1994
12600,Amplifier/Comparator,Automotive,Auto Infotainment,176.966,33009.633,54238.251,40999.701,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,1.6464
12601,Amplifier/Comparator,Automotive,Auto Infotainment,167.551,31492.062,52181.914,38504.754,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,1.2229
12602,Amplifier/Comparator,Automotive,Auto Infotainment,128.9,30177.791,50655.933,35784.353,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,1.2442
12603,Amplifier/Comparator,Automotive,Auto Infotainment,204.427,39871.494,69250.263,47488.543000000005,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,1.8323
12604,Amplifier/Comparator,Automotive,Auto Infotainment,235.043,44223.186,89681.767,62153.99700000001,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,1.5158999999999998
12607,Amplifier/Comparator,Computer Peripherals & Storage,Flash Cards/Drives,0.0,33009.633,30189.425,1278.6699999999998,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.0
12608,Amplifier/Comparator,Computer Peripherals & Storage,Flash Cards/Drives,0.0,31492.062,38671.365,2144.3,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.0
12609,Amplifier/Comparator,Computer Peripherals & Storage,Flash Cards/Drives,0.0,30177.791,37805.76,1980.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.0
12610,Amplifier/Comparator,Computer Peripherals & Storage,Flash Cards/Drives,0.0,39871.494,43483.575,2784.61,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.0
12611,Amplifier/Comparator,Computer Peripherals & Storage,Flash Cards/Drives,0.0,44223.186,34703.905,1980.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.0
12614,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,15.532,33009.633,30189.425,22212.175,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.048
12615,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,27.961,31492.062,38671.365,33806.275,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.075
12616,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,25.0,30177.791,37805.76,32770.25,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.075
12617,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,21.0,39871.494,43483.575,34797.025,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.0616
12618,Amplifier/Comparator,Computer Peripherals & Storage,Other Peripherals,13.0,44223.186,34703.905,25299.575,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.0386
12621,Amplifier/Comparator,Computer Platforms,Desktop PCs,36.381,33009.633,8413.668,8413.668,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.0367999999999998
12622,Amplifier/Comparator,Computer Platforms,Desktop PCs,33.461,31492.062,7501.488,7501.488,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.0484999999999999
12623,Amplifier/Comparator,Computer Platforms,Desktop PCs,29.0,30177.791,6216.0,6216.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.0364097274184925
12624,Amplifier/Comparator,Computer Platforms,Desktop PCs,25.0,39871.494,6888.0,6888.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.0385999999999998
12625,Amplifier/Comparator,Computer Platforms,Desktop PCs,27.0,44223.186,6528.0,6528.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.030706548634812
12628,Amplifier/Comparator,Computer Platforms,Notebook PCs,0.0,33009.633,8413.668,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.2484999999999997
12629,Amplifier/Comparator,Computer Platforms,Notebook PCs,0.0,31492.062,7501.488,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.2711999999999996
12630,Amplifier/Comparator,Computer Platforms,Notebook PCs,0.0,30177.791,6216.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.337890272581507
12631,Amplifier/Comparator,Computer Platforms,Notebook PCs,0.0,39871.494,6888.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.4639999999999997
12632,Amplifier/Comparator,Computer Platforms,Notebook PCs,0.0,44223.186,6528.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.4381934513651877
12635,Amplifier/Comparator,Consumer,Audio,0.0,33009.633,0.0,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,1.9605
12636,Amplifier/Comparator,Consumer,Audio,0.0,31492.062,0.0,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,1.9787999999999992
12637,Amplifier/Comparator,Consumer,Audio,0.0,30177.791,0.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,1.7365
12638,Amplifier/Comparator,Consumer,Audio,0.0,39871.494,0.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,1.3721
12639,Amplifier/Comparator,Consumer,Audio,0.0,44223.186,0.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,1.5431999999999997
12642,Amplifier/Comparator,Consumer,Connected Consumer,0.0,33009.633,0.0,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,6.3256
12643,Amplifier/Comparator,Consumer,Connected Consumer,0.0,31492.062,0.0,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,4.9306
12644,Amplifier/Comparator,Consumer,Connected Consumer,0.0,30177.791,0.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,4.4981
12645,Amplifier/Comparator,Consumer,Connected Consumer,0.0,39871.494,0.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,4.503299999999999
12646,Amplifier/Comparator,Consumer,Connected Consumer,0.0,44223.186,0.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,6.219099999999999
12649,Amplifier/Comparator,Consumer,Other Consumer,0.0,33009.633,0.0,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,2.4536
12650,Amplifier/Comparator,Consumer,Other Consumer,0.0,31492.062,0.0,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,2.3462
12651,Amplifier/Comparator,Consumer,Other Consumer,0.0,30177.791,0.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,2.8450999999999995
12652,Amplifier/Comparator,Consumer,Other Consumer,0.0,39871.494,0.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,2.5329
12653,Amplifier/Comparator,Consumer,Other Consumer,0.0,44223.186,0.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,2.4344
12656,Amplifier/Comparator,Consumer,STB,0.0,33009.633,0.0,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.4488999999999999
12657,Amplifier/Comparator,Consumer,STB,0.0,31492.062,0.0,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.3467999999999999
12658,Amplifier/Comparator,Consumer,STB,0.0,30177.791,0.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.3610999999999998
12659,Amplifier/Comparator,Consumer,STB,0.0,39871.494,0.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.3454999999999998
12660,Amplifier/Comparator,Consumer,STB,0.0,44223.186,0.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.3824999999999998
12663,Amplifier/Comparator,Consumer,TV,0.0,33009.633,0.0,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.2386999999999999
12664,Amplifier/Comparator,Consumer,TV,0.0,31492.062,0.0,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.1881999999999997
12665,Amplifier/Comparator,Consumer,TV,0.0,30177.791,0.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.1533999999999997
12666,Amplifier/Comparator,Consumer,TV,0.0,39871.494,0.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.1233999999999998
12667,Amplifier/Comparator,Consumer,TV,0.0,44223.186,0.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.1392999999999999
12670,Amplifier/Comparator,Consumer,Video Games,0.0,33009.633,0.0,0.0,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.5190999999999998
12671,Amplifier/Comparator,Consumer,Video Games,0.0,31492.062,0.0,0.0,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.9448
12672,Amplifier/Comparator,Consumer,Video Games,0.0,30177.791,0.0,0.0,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,1.0294
12673,Amplifier/Comparator,Consumer,Video Games,0.0,39871.494,0.0,0.0,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,1.1994999999999998
12674,Amplifier/Comparator,Consumer,Video Games,0.0,44223.186,0.0,0.0,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,1.4512
12677,Amplifier/Comparator,Industrial,Other Industrial,82.904,33009.633,202444.977,37981.129,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.484
12678,Amplifier/Comparator,Industrial,Other Industrial,84.255,31492.062,190906.584,37117.218,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.4301
12679,Amplifier/Comparator,Industrial,Other Industrial,85.306,30177.791,197047.823,38652.791,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.49
12680,Amplifier/Comparator,Industrial,Other Industrial,122.722,39871.494,245502.837,46251.69,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.6286
12681,Amplifier/Comparator,Industrial,Other Industrial,138.207,44223.186,272578.716,50064.362,44606.35,38195.12,32458.49,71470.0,66344.5,57068.4,10943.8,9330.5,10498.0,0.5444
12684,Amplifier/Comparator,Wired Communications,Enterprise/SOHO,15.479,33009.633,32585.047,10822.728,34337.33,34361.46,31627.19,56861.3,56973.1,50449.9,7805.0,8329.5,3108.7,0.0307891434614026
12685,Amplifier/Comparator,Wired Communications,Enterprise/SOHO,10.899,31492.062,30187.851,7627.347,32444.22,34337.33,34361.46,57925.8,56861.3,56973.1,7585.9,7805.0,8329.5,0.0282908057179984
12686,Amplifier/Comparator,Wired Communications,Enterprise/SOHO,10.0,30177.791,33360.029,7252.476,32458.49,32444.22,34337.33,57068.4,57925.8,56861.3,10498.0,7585.9,7805.0,0.0284999999999998
12687,Amplifier/Comparator,Wired Communications,Enterprise/SOHO,13.0,39871.494,36952.978,8783.418,38195.12,32458.49,32444.22,66344.5,57068.4,57925.8,9330.5,10498.0,7585.9,0.0430999999999997
