,Company Name from Spend Tracker,Company Tag from S&P Global
248,Vestel Group,Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi (IBSE:VESTL)
249,Videocon,Videocon Industries Limited (BSE:511389)
250,Visteon,Visteon Corporation (NasdaqGS:VC)
251,Vivo,VIVO
252,Voxx International,VOXX International Corporation (NasdaqGS:VOXX)
253,VTech,Vtech Holdings Limited (SEHK:303)
254,Wabtec,Westinghouse Air Brake Technologies Corporation (NYSE:WAB)
255,Waters,Waters Corporation (NYSE:WAT)
256,WEG Indústrias S.A.,
257,Western Digital,Western Digital Corporation (NasdaqGS:WDC)
258,Whirlpool,Whirlpool Corporation (NYSE:WHR)
259,Xerox,Xerox Holdings Corporation (NasdaqGS:XRX)
260,Xiaomi,Xiaomi Corporation (SEHK:1810)
261,Xylem Inc.,Xylem Inc. (NYSE:XYL)
262,Yamaha,Yamaha Corporation (TSE:7951)
263,Yaskawa Electric Corporation,YASKAWA Electric Corporation (TSE:6506)
264,Yokogawa Electric,Yokogawa Electric Corporation (TSE:6841)
265,Zebra Technologies,Zebra Technologies Corporation (NasdaqGS:ZBRA)
266,ZF Group,ZF Group Inc.
267,ZTE,ZTE Corporation (SZSE:000063)
